Distance,Time,Speed,Engine_RPM,Gear,G_Long,G_Lat,Throttle_Pos,Brake_Press,Roll_Angle_deg,Fz_Outer_Wheel_N,Front_Slip_Angle_deg,Fuel_Cons_Accum_L,Tyre_Temp_C,Tyre_Press_bar,Tyre_Grip_Mult,Corner_Radius_m
0.0,0.0,72.0,1957.6058000303124,1,0.48327216273255447,0.0058027795031738655,100.0,0.0,0.02536782533073619,12390.291415548467,0.053474628359319806,0.0,65.0,4.5,1.0,7026.756686429368
4.996426317852565,0.23622375901115844,76.1444776747439,2070.289876893851,10,0.6105766728150813,0.00962661065120551,100.0,0.0,0.042084345509460754,12474.501541912568,0.08871256036034497,0.010964020948271785,64.99694317211011,5.1036768213130825,0.75,4737.283851114963
9.99291808090694,0.4580752888166074,81.07841475228788,1763.550833070467,10,0.45939648159619256,0.014224819277544433,100.0,0.0,0.06218618691209369,12575.765356783637,0.13108664975622894,0.019478438170655775,64.99395741626435,5.103631757079288,0.75,3634.877097765157
14.989481644291253,0.6706918425638633,84.60126227784691,1840.1769080555425,11,0.46528138019165977,0.014952509803076209,100.0,0.0,0.06536740827961678,12591.790884255093,0.13779257066742778,0.028161905118341886,64.99101245512773,5.103587308563054,0.75,3765.0052061757287
19.98612238501822,0.8750401956235292,88.02569923998824,1914.662437599165,11,0.4739661716875846,0.015607984792490823,100.0,0.0,0.06823292730046554,12606.226048766874,0.14383300033369445,0.0370624263188859,64.9881041302536,5.103543413000641,0.75,3904.793979786037
24.982844735782237,1.071885840950972,91.38226264964108,1987.671637587009,11,0.48437301936901717,0.016196482529401982,100.0,0.0,0.07080564401136769,12619.186210152606,0.14925621135772396,0.04621030486899289,64.98522911185458,5.10350002013532,0.75,4055.357060536414
29.979652218763192,1.2618589980263453,94.68972993692137,2059.612939198013,11,0.49556898609682054,0.016719625880845503,100.0,0.0,0.07309265304817436,12630.707107918783,0.15407715902285413,0.05562041448025515,64.98238461671478,5.103457087959807,0.75,4217.986559001466
34.97654747943478,1.4454967496543996,97.95819638901288,2130.7059267960003,11,0.5066935806183184,0.017176263448210174,100.0,0.0,0.07508892087844835,12640.763385448237,0.1582852327910154,0.06529327490495078,64.97956822619808,5.103414579969449,0.75,4394.190278953264
39.9735323203754,1.623270919324421,101.19099676166175,1716.7980454861392,11,0.3187242890142742,0.017563070215470412,100.0,0.0,0.07677991163610809,12649.281817745186,0.1618497914847927,0.0718816893549346,64.97677776453773,5.103372463325238,0.75,4585.738664565918
44.970607735079824,1.7976336843293064,103.17266701082607,1750.4188983232398,12,0.3179908094544694,0.017461905806921744,100.0,0.0,0.07633765443085909,12647.053929719372,0.16091752632679876,0.07850642403383544,64.9740013136339,5.1033305581464115,0.75,4794.724567795209
49.96777394177018,1.9687815823946033,105.11258711001976,1783.3314215839735,12,0.3178726513938983,0.017298837623084935,100.0,0.0,0.07562477447353692,12643.462768960631,0.15941479638106618,0.08517772025487591,64.97123783917054,5.10328884882196,0.75,5023.640115049758
54.96503041720478,2.136887369726823,107.01668037169648,1815.6361096954006,12,0.3182704356774929,0.017075256447089605,100.0,0.0,0.0746473518062121,12638.538963919478,0.15735441819713716,0.09190424088145183,64.9684864172245,5.103247321407044,0.75,5275.4766663254795
59.962375930483695,2.302104294098035,108.88983629414925,1847.4159174794077,12,0.31909826308973427,0.01679213957373735,100.0,0.0,0.07340965883727266,12632.304037020816,0.15474539788601144,0.09869328184450298,64.96574621701927,5.103205963362693,0.75,5553.856387156786
64.95980857685012,2.4645694601280734,110.73609172068804,1878.739333684266,12,0.32028045050405285,0.016450120812785237,100.0,0.0,0.07191446637253701,12624.771946307685,0.1515935762247152,0.10555093081875902,64.96301648767168,5.103164763355769,0.75,5863.207746498362
69.95732581148653,2.624406512830548,112.55876995042048,1909.6627411265802,12,0.32174911556709684,0.01604954756787433,100.0,0.0,0.07016329314537784,12615.950342459044,0.14790215465845002,0.11248218683344072,64.96029654798845,5.103123711104974,0.75,6209.003057659204
74.95492448330505,2.781727801237722,114.36058908939275,1940.2322549677474,12,0.32344237816169097,0.01559052844430825,100.0,0.0,0.06815661394212308,12605.841617229653,0.14367213402280612,0.11949105082443748,64.95758577863799,5.103082797262689,0.75,6598.085253855975
79.95260086873182,2.9366361398761214,116.1437476231287,1970.4851745305443,12,0.32530301996022387,0.015072973865666995,100.0,0.0,0.06589403716440596,12594.443797927372,0.13890268883996437,0.1265805945600393,64.95488361620588,5.10304201332526,0.75,7039.125619441074
84.95035070548421,3.0892262551107,117.90999295497883,2000.451146115065,12,0.3272774913892631,0.014496631501077871,100.0,0.0,0.06337445970543072,12581.751327608432,0.13359149379330132,0.13375301358063205,64.95218954876967,5.103001351566203,0.75,7543.278086406083
89.94816922634153,3.2395859815409733,119.66067711243107,2030.1531081073626,12,0.3293151873837966,0.013861117821467829,100.0,0.0,0.06059620490343054,12567.755760023387,0.12773501452921363,0.1410096685233902,64.9495031127184,5.102960804988204,0.75,8125.136168325889
94.94605119290853,3.3877972578966005,121.39680274036076,2059.6080712971047,12,0.3313679349858021,0.01316594675014022,100.0,0.0,0.05755714779247639,12552.446390572986,0.1213287716821329,0.14835111828619085,64.9468238906052,5.102920367290704,0.75,8804.169484893633
99.94399092937186,3.5339369603849202,123.11906172592677,2088.8277741843576,12,0.3333896506231858,0.012410556110151212,100.0,0.0,0.05425483072162559,12535.810838744166,0.11436758459628432,0.15577714780805796,64.94415150986684,5.102880032850581,0.75,9606.945853063551
104.94198235624975,3.678077602942749,124.82786823668907,2117.8192435015385,12,0.33533613502469245,0.011594332370656605,100.0,0.0,0.05068657153773374,12517.835593085216,0.10684579937186638,0.16328679273026644,64.94148564227658,5.1028397967138845,0.75,10570.690391631228
109.94001902413494,3.820287927489728,126.52338753676582,2146.5852831059497,12,0.3371649806467401,0.010716634038317808,100.0,0.0,0.04684956584491517,12498.506526341811,0.09875750442498087,0.17087836280051996,64.93882600401898,5.102799654596966,0.75,11749.22479721849
114.93809414743109,3.960633402481896,128.2055616318967,2175.1249090717874,12,0.33883557118951874,0.00977681391654472,100.0,0.0,0.04274098431456221,12477.80938566007,0.0900967356142862,0.17854946555609635,64.93617235629208,5.102759602895571,0.75,13223.376786519015
119.9362006380836,4.099176644408425,129.87413255343802,3000.0,12,0.4923753671465441,0.004855418468619793,100.0,0.0,0.02122627743346239,12369.428205499747,0.04474436741847739,0.18885547080321496,64.9335191547409,5.102719557928339,0.75,27324.02316769184
124.9343311393022,4.235219994364213,132.26129619885484,3000.0,4,0.5297408052494978,0.0021738993921653986,100.0,0.0,0.009503566357619201,12310.374588450728,0.020033237868682257,0.19986519949178502,64.93087462994123,5.1026796439199575,0.75,63292.477978716546
129.93227675959963,4.368713796646907,134.7823189197104,3000.0,4,0.5351166767166067,0.009608872136913287,100.0,0.0,0.04200679861457258,12474.110896386595,0.08854909379076324,0.21104566703212704,64.9282497391618,5.102640026249298,0.75,14870.289545496356
134.93011189673263,4.499774116058471,137.28187581459014,3000.0,4,0.531760337884436,0.012121997817031438,100.0,0.0,0.0529933496721399,12529.456078456298,0.11170841971225937,0.22225093972824447,64.92564066017705,5.102600647227224,0.75,12228.641101716892
139.9278163746483,4.62854276404342,139.72140270199407,3000.0,4,0.5260088704603406,0.0029164653594061433,100.0,0.0,0.01274981821730286,12326.727709578268,0.026876241141296508,0.23344016411762167,64.92302746795747,5.102561206123792,0.75,52649.595953090764
144.92545543953068,4.755160267932087,142.0933131756907,3000.0,4,0.5195379290181827,0.01154393503497943,100.0,0.0,-0.05046625111923537,12516.725720331557,-0.10638137042119493,0.24460050607969397,64.92043591864247,5.10252209167832,0.75,13756.862565640431
149.92316607444275,4.879758798543812,144.3978367750536,3000.0,4,0.5127433520305287,0.030495005211895906,100.0,0.0,-0.1333140377386637,12934.074696411364,-0.28102206358689447,0.2557258423350224,64.91793272114026,5.102484310733292,0.75,5377.97344415952
154.92114290404044,5.002461369909078,146.6368339828046,3000.0,4,0.5056776234714103,0.0525830363642986,100.0,0.0,-0.22987557619924762,13420.507235524788,-0.4845709415716215,0.26681101097706955,64.91562131676802,5.10244942453616,0.75,3216.373543424149
159.91963124692347,5.123382619150034,148.8122075097131,3000.0,4,0.498145098678117,0.07710331704228329,100.0,0.0,-0.3370701020225226,13960.503865720977,-0.7105338436264499,0.27784762688900067,64.91363591022517,5.1024194586483755,0.75,2259.071867321561
164.9189208454079,5.242630321358156,150.92485826798676,3000.0,4,0.48974089376423907,0.10780718926001025,100.0,0.0,-0.471297236961998,14636.678325111778,-0.99348068920915,0.28882051191305447,64.91222629570115,5.102398183232116,0.75,1661.8806116538879
169.91957165862982,5.360312706754494,152.97398048968452,3000.0,4,0.4814916965280377,0.14730884028769956,100.0,0.0,-0.6439853397923795,15506.601419478706,-1.3575021218915178,0.29973221498730707,64.9118331114857,5.102392248873673,0.75,1249.4886502804263
174.92330668812332,5.4765559421996395,154.96339238318112,3000.0,4,0.4759812777892768,0.1729052806532539,100.0,0.0,-0.7558844784597776,16070.297721488292,-1.5933822092049956,0.3106313557151414,64.91226796615594,5.102398812167372,0.75,1092.3855942889809
179.93215089693183,5.591476336313352,156.90721643251905,3000.0,4,0.4723808106464423,0.15409318530544708,100.0,0.0,-0.6736442436503557,15656.009311491998,-1.420022217353877,0.32155374832102845,64.9120916991131,5.102396151755857,0.75,1256.6906804591488
184.94482158429562,5.705103501369806,158.8142629937481,3000.0,4,0.468166435752793,0.10768544402894366,100.0,0.0,-0.4707650072340102,14633.997196972105,-0.9923587646241739,0.3324857624892853,64.91070046988413,5.102375153830215,0.75,1842.247581092759
189.9590079737966,5.817443475951275,160.68252702970798,3000.0,4,0.4628417418733681,0.07632503725881636,100.0,0.0,-0.3336677212161118,13943.36423889773,-0.7033617251343199,0.3434029950765803,64.90873439940616,5.1023454797830885,0.75,2660.7022232158697
194.97508323480554,5.928562603069738,162.5091143883897,3000.0,4,0.4568509046080419,0.07341826616268454,100.0,0.0,-0.3209602830991245,13879.350020737815,-0.6765748199958007,0.35429420843849674,64.9067291989036,5.102315215143606,0.75,2829.2890203049988
199.99586354130352,6.0385777598989865,164.2938084562838,3000.0,4,0.45083000746248136,0.08466690431865609,100.0,0.0,-0.3701355943087379,14127.072580617587,-0.7802349271237797,0.3651641152371544,64.90490623696712,5.10228770104428,0.75,2507.5794621542036
205.0258891820861,6.147636788828998,166.03936862887488,3000.0,4,0.44528340119719234,0.09159231454918428,100.0,0.0,-0.40041118844007473,14279.587074082137,-0.8440549875122142,0.3760296887218233,64.90320792822125,5.102262068344778,0.75,2367.4951818313807
